cases,trade,tradebal,central
0,0.076104,-0.002172,1
0,0.085113004,-0.000713,1
0,0.092491999,-0.00231,1
1,0.093772002,-0.00095,1
0,0.118388,0.004308,1
1,0.141211,0.009583,1
0,0.17089,0.011536,1
1,0.19732,0.005208,1
0,0.21485099,0.004153,1
1,0.278992,0.015296,1
0,0.41306001,0.019406,1
1,0.34524798,-0.014092,1
0,0.44270802,-0.002556,1
0,0.49386701,-0.007589,1
0,0.4905,-0.0407,1
1,0.6099,-0.022299999,1
0,0.56484997,-0.034049999,1
4,0.51980001,-0.0458,1
0,0.57620001,-0.047800001,1
0,0.6397,-0.048700001,1
0,0.70809996,-0.0515,1
6,0.78490001,-0.053100001,1
1,0.87020004,-0.054400001,1
2,1.0695,-0.0559,1
1,1.1800001,-0.091399997,1
4,1.3027999,-0.1338,1
2,1.4391999,-0.1838,1
1,1.4402,-0.17380001,1
1,1.4362,-0.1688,1
1,1.4421999,-0.1538,1
2,1.4434,-0.14380001,0
1,0.94190001,-0.080499999,1
5,0.99329996,-0.076300003,1
5,1.0930001,-0.1006,1
4,1.2865,-0.1249,1
1,1.3854001,-0.1068,1
1,1.477,-0.1266,1
3,1.5624,-0.105,1
2,1.7634001,-0.094999999,1
0,2.0959001,-0.1029,1
3,2.5159001,-0.1627,1
6,2.8877001,-0.099299997,1
10,3.4047999,-0.0482,1
6,4.8045998,0.0062,1
7,6.5439,0.018100001,1
4,7.0700998,-0.050700001,1
14,8.0774994,-0.062899999,1
9,9.0209999,-0.28099999,1
38,10.396099,-0.36829999,1
11,13.1883,-0.45449999,1
17,15.190901,-0.4237,1
17,13.585899,0.15710001,1
21,11.97548,0.13152,1
19,11.46978,0.33902001,1
22,11.45338,0.52462,1
14,11.66218,0.79501998,1
16,12.99938,1.62062,1
19,16.714981,0.51661998,1
26,18.640881,0.84751999,1
18,20.648581,0.98242003,1
9,24.794682,1.2057199,1
17,24.953979,1.1978199,1
18,26.235479,1.23052,1
43,23.871281,1.5533201,1
13,26.46228,1.58372,1
19,32.732479,1.92792,0
0,1.6076,-0.16760001,1
0,2.2213001,-0.34810001,1
0,2.7265999,-0.55180001,1
1,3.0427999,-0.47420001,1
2,3.9598999,-0.66829997,1
3,4.0469999,-0.76880002,1
1,4.6083002,-0.93870002,1
3,3.9912,-0.80500001,1
1,4.5078001,-0.8348,1
5,5.6341,-0.84850001,0
1,6.0032001,-0.65240002,0
1,8.0107994,-1.2986,0
1,9.7301998,-1.7998,0
2,11.5296,-2.5406001,0
6,14.0473,-2.9157,0
5,15.0668,-3.0334001,0
5,16.2073,-3.0421,0
7,13.898399,-1.4946001,0
13,16.268101,-1.4833,0
10,20.297199,-1.772,0
6,14.2393,1.5973001,0
0,6.9342999,-0.82770002,1
1,9.2781,-1.5503,1
1,9.7607002,-0.93889999,1
1,10.224199,-0.97140002,1
5,12.2756,-0.63459998,1
5,15.0291,-0.68809998,1
8,19.3237,-1.0895,1
6,23.5047,-0.47729999,1
5,20.484699,-0.044500001,1
4,19.6625,-0.2665,1
6,18.630699,-0.2379,1
9,19.408798,-0.71139997,1
8,20.578199,-0.38499999,1
8,22.707802,-1.3898,1
9,27.890499,-1.8827,1
16,32.456799,-3.8424001,1
14,34.218399,-4.0784001,1
12,39.620003,-3.2739999,1
14,38.342999,-1.827,1
18,40.032997,-2.3429999,1
12,38.435997,-2.0239999,1
24,42.940002,-1.648,1
20,49.915001,-1.839,0
