"schoolid","schoolname","calendaryear","totaljd","hispanicjd","amindianjd","asianjd","blackjd","nathawjd","twoormorejd","minorityjd","whitejd","nonresalienjd","unknownjd","menjd","hispanicmenjd","amindianmenjd","asianmenjd","blackmenjd","nathawmenjd","twoormoremenjd","minoritymenjd","whitemenjd","nonresalienmenjd","unknownmenjd","womenjd","hispanicwomenjd","amindianwomenjd","asianwomenjd","blackwomenjd","nathawwomenjd","twoormorewomenjd","minoritywomenjd","whitewomenjd","nonresalienwomenjd","unknownwomenjd","otherjd","hispanicotherjd","amindianotherjd","asianotherjd","blackotherjd","nathawotherjd","twoormoreotherjd","minorityotherjd","whiteotherjd","nonresalienotherjd","unknownotherjd","totalftjd","fthispanicjd","ftamindjd","ftasianjd","ftblackjd","ftnathawjd","fttwoormorejd","ftminorityjd","ftwhitejd","ftnonresalienjd","ftunknownjd","totalptjd","pthispanicjd","ptamindjd","ptasianjd","ptblackjd","ptnathawjd","pttwoormorejd","ptminorityjd","ptwhitejd","ptnonresalienjd","ptunknownjd","totaljd1","hispanicjd1","amindianjd1","asianjd1","blackjd1","nathawjd1","twoormorejd1","minorityjd1","whitejd1","nonresalienjd1","unknownjd1","amindianmenjd1","amindianotherjd1","amindianwomenjd1","asianmenjd1","asianotherjd1","asianwomenjd1","blackmenjd1","blackotherjd1","blackwomenjd1","hispanicmenjd1","hispanicotherjd1","hispanicwomenjd1","minoritymenjd1","minorityotherjd1","minoritywomenjd1","nathawmenjd1","nathawotherjd1","nathawwomenjd1","nonresalienmenjd1","nonresalienotherjd1","nonresalienwomenjd1","twoormoremenjd1","twoormoreotherjd1","twoormorewomenjd1","unknownmenjd1","unknownotherjd1","unknownwomenjd1","whitemenjd1","whiteotherjd1","whitewomenjd1","menjd1","otherjd1","womenjd1","totaljd2","amindianjd2","amindianmenjd2","amindianotherjd2","amindianwomenjd2","asianjd2","asianmenjd2","asianotherjd2","asianwomenjd2","blackjd2","blackmenjd2","blackotherjd2","blackwomenjd2","hispanicjd2","hispanicmenjd2","hispanicotherjd2","hispanicwomenjd2","minorityjd2","minoritymenjd2","minorityotherjd2","minoritywomenjd2","nathawjd2","nathawmenjd2","nathawotherjd2","nathawwomenjd2","nonresalienjd2","nonresalienmenjd2","nonresalienotherjd2","nonresalienwomenjd2","twoormorejd2","twoormoremenjd2","twoormoreotherjd2","twoormorewomenjd2","unknownjd2","unknownmenjd2","unknownotherjd2","unknownwomenjd2","whitejd2","whitemenjd2","whiteotherjd2","whitewomenjd2","menjd2","otherjd2","womenjd2","totaljd3","amindianjd3","amindianmenjd3","amindianotherjd3","amindianwomenjd3","asianjd3","asianmenjd3","asianotherjd3","asianwomenjd3","blackjd3","blackmenjd3","blackotherjd3","blackwomenjd3","hispanicjd3","hispanicmenjd3","hispanicotherjd3","hispanicwomenjd3","minorityjd3","minoritymenjd3","minorityotherjd3","minoritywomenjd3","nathawjd3","nathawmenjd3","nathawotherjd3","nathawwomenjd3","nonresalienjd3","nonresalienmenjd3","nonresalienotherjd3","nonresalienwomenjd3","twoormorejd3","twoormoremenjd3","twoormoreotherjd3","twoormorewomenjd3","unknownjd3","unknownmenjd3","unknownotherjd3","unknownwomenjd3","whitejd3","whitemenjd3","whiteotherjd3","whitewomenjd3","menjd3","otherjd3","womenjd3","totaljd4","amindianjd4","amindianmenjd4","amindianotherjd4","amindianwomenjd4","asianjd4","asianmenjd4","asianotherjd4","asianwomenjd4","blackjd4","blackmenjd4","blackotherjd4","blackwomenjd4","hispanicjd4","hispanicmenjd4","hispanicotherjd4","hispanicwomenjd4","minorityjd4","minoritymenjd4","minorityotherjd4","minoritywomenjd4","nathawjd4","nathawmenjd4","nathawotherjd4","nathawwomenjd4","nonresalienjd4","nonresalienmenjd4","nonresalienotherjd4","nonresalienwomenjd4","twoormorejd4","twoormoremenjd4","twoormoreotherjd4","twoormorewomenjd4","unknownjd4","unknownmenjd4","unknownotherjd4","unknownwomenjd4","whitejd4","whitemenjd4","whiteotherjd4","whitewomenjd4","menjd4","otherjd4","womenjd4"
"00129500","Southwestern Law School","2019","805","202","0","75","47","2","40","366","396","20","23","343","76","0","35","12","1","16","140","182","8","13","461","126","0","40","35","1","24","226","213","12","10","1","0","0","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","347","88","0","41","24","0","17","170","158","11","8","0","0","0","20","0","21","8","0","16","30","0","58","64","0","106","0","0","0","5","0","6","6","0","11","4","0","4","74","0","84","147","0","200","199","0","0","0","0","13","7","0","6","10","0","0","10","54","23","0","31","88","34","0","54","2","1","0","1","3","2","0","1","9","3","0","6","10","5","0","5","98","45","0","53","86","0","113","215","0","0","0","0","20","7","0","13","7","3","0","4","50","19","0","31","89","34","0","55","0","0","0","0","6","1","0","5","12","5","0","7","4","4","0","0","116","56","1","59","95","1","119","44","0","0","0","0","1","1","0","0","6","1","0","5","10","4","0","6","19","8","0","11","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","1","24","7","0","17","15","0","29"
"00130503","Stanford University","2019","567","85","0","51","38","0","40","214","327","15","11","286","42","0","23","14","0","13","92","180","6","8","279","42","0","28","24","0","26","120","147","9","3","2","1","0","0","0","0","1","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","180","30","0","14","16","0","16","76","95","4","5","0","0","0","6","0","8","4","0","12","13","1","16","28","2","46","0","0","0","3","0","1","5","1","10","5","0","0","46","0","49","82","2","96","185","0","0","0","0","15","6","0","9","12","5","0","7","27","16","0","11","66","30","0","36","0","0","0","0","8","2","0","6","12","3","0","9","1","1","0","0","110","61","0","49","94","0","91","202","0","0","0","0","22","11","0","11","10","5","0","5","28","13","0","15","72","34","0","38","0","0","0","0","3","1","0","2","12","5","0","7","5","2","0","3","122","73","0","49","110","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00131273","University of California-Berkeley","2019","986","120","3","172","37","1","71","404","506","47","29","388","48","2","68","18","0","22","158","197","15","18","595","72","1","102","19","1","49","244","309","31","11","3","0","0","2","0","0","0","2","0","1","0","","","","","","","","","","","","","","","","","","","","","","","328","38","0","46","16","0","24","124","186","15","3","0","0","0","18","2","26","6","0","10","13","0","25","44","2","78","0","0","0","5","0","10","7","0","17","2","0","1","77","0","109","128","2","198","331","2","1","0","1","62","30","0","32","13","8","0","5","37","18","0","19","140","65","0","75","0","0","0","0","12","5","0","7","26","8","0","18","21","13","0","8","158","57","0","101","140","0","191","327","1","1","0","0","64","20","0","44","8","4","0","4","45","17","0","28","140","49","0","91","1","0","0","1","20","5","1","14","21","7","0","14","5","3","0","2","162","63","0","99","120","1","206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00131373","University of California-Davis","2019","592","97","1","108","21","0","53","280","265","30","17","246","37","0","40","2","0","31","110","117","9","10","346","60","1","68","19","0","22","170","148","21","7","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","234","33","1","52","6","0","21","113","105","9","7","0","0","1","16","0","36","0","0","6","16","0","17","44","0","69","0","0","0","0","0","9","12","0","9","4","0","3","48","0","57","96","0","138","202","0","0","0","0","36","16","0","20","5","0","0","5","40","16","0","24","97","42","0","55","0","0","0","0","7","2","0","5","16","10","0","6","4","3","0","1","94","38","0","56","85","0","117","156","0","0","0","0","20","8","0","12","10","2","0","8","24","5","0","19","70","24","0","46","0","0","0","0","14","7","0","7","16","9","0","7","6","3","0","3","66","31","0","35","65","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00131400","University of California-Irvine","2019","519","85","1","96","24","0","33","239","221","34","25","223","31","0","32","12","0","15","90","109","13","11","294","52","1","64","12","0","18","147","112","21","14","2","2","0","0","0","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","157","32","0","22","10","0","12","76","63","13","5","0","0","0","7","0","15","4","0","6","10","2","20","28","2","46","0","0","0","6","0","7","7","0","5","2","0","3","32","0","31","68","2","87","215","1","0","0","1","46","17","0","29","9","5","0","4","25","12","0","13","96","40","0","56","0","0","0","0","14","5","0","9","15","6","0","9","10","3","0","7","95","51","0","44","99","0","116","147","0","0","0","0","28","8","0","20","5","3","0","2","28","9","0","19","67","22","0","45","0","0","0","0","7","2","0","5","6","2","0","4","10","6","0","4","63","26","0","37","56","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00131500","University of California-Los Angeles","2019","975","104","2","130","36","0","49","321","547","39","68","462","41","1","40","10","0","18","110","295","17","40","511","63","1","90","24","0","31","209","252","22","28","2","0","0","0","2","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","307","31","0","34","17","0","22","104","170","10","23","0","0","0","7","0","27","1","2","14","12","0","19","28","2","74","0","0","0","3","0","7","8","0","14","16","0","7","82","0","88","129","2","176","346","0","0","0","0","53","19","0","34","11","3","0","8","44","16","0","28","129","45","0","84","0","0","0","0","17","8","0","9","21","7","0","14","14","8","0","6","186","106","0","80","167","0","179","322","2","1","0","1","43","14","0","29","8","6","0","2","29","13","0","16","88","37","0","51","0","0","0","0","12","6","0","6","6","3","0","3","31","16","0","15","191","107","0","84","166","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00132500","University of San Francisco","2019","400","105","0","47","22","4","31","209","147","17","27","169","44","0","14","11","1","13","83","65","5","16","231","61","0","33","11","3","18","126","82","12","11","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","149","48","0","14","12","1","9","84","46","7","12","0","0","0","4","0","10","8","0","4","20","0","28","35","0","49","0","0","1","1","0","6","3","0","6","7","0","5","20","0","26","63","0","86","116","0","0","0","0","18","5","0","13","4","0","0","4","29","12","0","17","61","20","0","41","0","0","0","0","4","2","0","2","10","3","0","7","7","5","0","2","44","19","0","25","46","0","70","112","0","0","0","0","10","2","0","8","4","2","0","2","26","11","0","15","54","23","0","31","3","0","0","2","5","1","0","4","11","7","0","4","5","3","0","2","48","21","0","27","48","0","64","23","0","0","0","0","5","3","0","2","2","1","0","1","2","1","0","1","10","5","0","5","0","1","0","0","1","1","0","0","1","0","0","1","3","1","0","2","9","5","0","4","12","0","11"
"00132600","Santa Clara University","2019","707","167","0","148","16","6","36","373","303","31","0","327","78","0","61","2","3","18","162","149","16","0","379","89","0","86","14","3","18","210","154","15","0","1","0","0","1","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","267","61","0","69","4","2","12","148","108","11","0","0","0","0","31","0","38","1","0","3","31","0","30","71","0","77","1","0","1","4","0","7","7","0","5","0","0","0","57","0","51","132","0","135","253","0","0","0","0","45","17","1","27","8","0","0","8","60","27","0","33","132","55","1","76","1","1","0","0","6","3","0","3","18","10","0","8","0","0","0","0","115","57","0","58","115","1","137","187","0","0","0","0","34","13","0","21","4","1","0","3","46","20","0","26","93","36","0","57","3","0","0","2","14","9","0","5","6","1","0","5","0","0","0","0","80","35","0","45","80","0","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00132800","University of Southern California","2019","590","57","1","80","51","0","37","226","318","22","24","278","24","0","33","23","0","14","94","171","7","6","312","33","1","47","28","0","23","132","147","15","18","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","203","19","1","31","18","0","13","82","104","7","10","0","0","1","9","0","22","10","0","8","6","0","13","32","0","50","0","0","0","2","0","5","7","0","6","2","0","8","52","0","52","88","0","115","198","0","0","0","0","22","6","0","16","16","5","0","11","21","10","0","11","70","23","0","47","0","0","0","0","10","4","0","6","11","2","0","9","9","3","0","6","109","60","0","49","90","0","108","189","0","0","0","0","27","18","0","9","17","8","0","9","17","8","0","9","74","39","0","35","0","0","0","0","5","1","0","4","13","5","0","8","5","1","0","4","105","59","0","46","100","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00132901","McGeorge School of Law","2019","516","78","9","70","14","2","21","194","289","1","32","227","31","5","28","6","2","10","82","127","0","18","287","47","4","42","8","0","11","112","160","1","14","2","0","0","0","0","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","178","21","5","27","3","0","11","67","100","1","10","3","0","2","12","0","15","0","0","3","7","0","14","28","0","39","0","0","0","0","0","1","6","0","5","5","0","5","51","2","47","84","2","92","177","0","0","0","0","20","7","0","13","7","4","0","3","33","14","0","19","65","27","0","38","0","0","0","0","0","0","0","0","5","2","0","3","11","7","0","4","101","41","0","60","75","0","102","135","4","2","0","2","21","9","0","12","2","0","0","2","19","8","0","11","53","23","0","30","2","0","0","0","0","0","0","0","5","2","0","3","9","5","0","4","73","28","0","45","56","0","79","26","0","0","0","0","2","0","0","2","2","2","0","0","5","2","0","3","9","4","0","5","0","2","0","0","0","0","0","0","0","0","0","0","2","1","0","1","15","7","0","8","12","0","14"
