"schoolid","schoolname","calendaryear","schooltype","termtype","ftrestuition","ptrestuition","ftnonrestuition","ptnonrestuition","ftrestermtuition","ptrestermtuition","ftnonrestermtuition","ptnonrestermtuition","ftrescredtuition","ptrescredtuition","ftnonrescredtuition","ptnonrescredtuition","tuitionguarind","oncampuscosts","offcampuscosts","athomecosts"
"00331301","Widener University-Delaware","2019","PRI","SEM","52180","39180","52180","39180","26090","19590","26090","19590","","1625","","1625","N","22069","22069","14059"
"00331302","Widener Commonwealth","2019","PRI","SEM","47250","34742","47250","34742","23625","17371","23625","17371","","1571","","1571","N","","22308","14658"
"00332900","Pennsylvania State University-Penn State Law","2019","PUB","SEM","50980","","50980","","25490","","25490","","2079","","2079","","N","23768","23768","7744"
"00332923","Pennsylvania State University-Dickinson School of Law","2019","PUB","SEM","52526","","52526","","26263","","26263","","","","","","N","21276","21276","7946"
"00337101","Temple University","2019","PUB","SEM","28114","22151","42488","33659","14057","11075","21244","16829","1043","1043","1672","1672","N","22482","22482","13482"
"00337800","University of Pennsylvania","2019","PRI","SEM","67998","","67998","","33999","","33999","","","","","","N","26340","26340",""
"00337900","University of Pittsburgh","2019","PUB","SEM","34962","","44996","","17481","","22498","","","1318","","1971","N","19142","19142","19142"
"00338801","Villanova University","2019","PRI","SEM","47916","","47916","","23958","","23958","","1974","","1974","","Y","","22732","11482"
"00341001","Roger Williams University","2019","PRI","SEM","38604","","38604","","19302","","19302","","","","","","Y","17500","17500","17500"
"00344800","University of South Carolina","2019","PUB","SEM","24472","","55480","","12236","","27740","","","","","","N","19421","19421","10171"
"00347400","University of South Dakota","2019","PUB","SEM","17000","11141","45040","21456","8500","5570","22520","10728","","","","","N","13989","15924","7365"
"00347900","Belmont University","2019","PRI","SEM","46220","","46220","","23110","","23110","","","","","","N","26425","26425","26425"
"00350200","Lincoln Memorial University","2019","PRI","SEM","37500","22700","37500","22700","18750","11350","18750","11350","1250","1250","1250","1250","N","21850","21850","21850"
"00350900","University of Memphis","2019","PUB","SEM","19218","16362","31976","19512","9609","8181","15988","9756","821","821","996","996","N","18579","18579","11954"
"00353000","University of Tennessee","2019","PUB","SEM","20168","","38842","","10084","","19421","","","","","","N","20492","20492","11500"
"00353500","Vanderbilt University","2019","PRI","SEM","60750","","60750","","30375","","30375","","2978","","2978","","N","26504","26504","26504"
"00354500","Baylor University","2019","PRI","QTR","64944","","64944","","21648","","21648","","1471","1471","1471","1471","N","19010","20334","9384"
"00361300","Southern Methodist University","2019","PRI","SEM","55808","41854","55808","41854","27904","20927","27904","20927","","","","","N","29370","26100","9570"
"00362300","St. Mary's University","2019","PRI","SEM","38510","25600","38510","25600","19255","12800","19255","12800","","","","","N","20064","20064","20064"
"00364200","Texas Southern University","2019","PUB","SEM","20418","","27618","","10209","","13809","","1075","","1315","","N","","20818",""
"00364400","Texas Tech University","2019","PUB","SEM","26904","","38664","","13452","","19332","","753","","1145","","N","15392","15392","15392"
"00364500","Texas A&M University","2019","PUB","SEM","31256","24314","39250","28532","15628","12157","19625","14266","","","","","N","29784","29784","18102"
"00365200","University of Houston","2019","PUB","SEM","33180","22800","48432","33134","16590","11400","24216","16567","897","897","1389","1389","N","18576","19970","12898"
"00365800","University of Texas at Austin","2019","PUB","SEM","36428","","54096","","18214","","27048","","","","","","N","20936","20936","11756"
"00367000","Brigham Young University","2019","PRI","SEM","13450","","26900","","6725","","13450","","792","","1584","","N","21912","21912","10416"
"00367500","University of Utah","2019","PUB","SEM","29244","15076","38178","19544","14622","7538","19089","9772","","","","","N","20820","20820","15348"
"00370500","William and Mary Law School","2019","PUB","SEM","35000","","44000","","17500","","22000","","","","","","N","20722","20722","20722"
"00374400","University of Richmond","2019","PRI","SEM","46400","","46400","","23200","","23200","","","","","","N","18460","17750","6560"
"00374500","University of Virginia","2019","PUB","SEM","63200","","66200","","31600","","33100","","","","","","N","19786","19786","19786"
"00374900","George Mason University","2019","PUB","SEM","25356","20826","40742","33465","12678","","20371","","","811","","1360","N","27466","27466","12416"
"00376800","Washington and Lee University","2019","PRI","SEM","49541","","49541","","24771","","24771","","","","","","N","19125","19125","19125"
"00377800","Gonzaga University","2019","PRI","SEM","42705","","42705","","21353","","21353","","1418","","1418","","N","20737","20737","20737"
"00379001","Seattle University","2019","PRI","SEM","48330","30774","48330","30774","24165","15387","24165","15387","1611","1611","1611","1611","N","27154","27154","12619"
"00379800","University of Washington","2019","PUB","QTR","37050","","48588","","12350","","16196","","","","","","N","21492","21492","9198"
"00382700","West Virginia University","2019","PUB","SEM","24228","","40248","","12114","","20124","","1273","","2163","","N","15370","15370","15370"
"00386300","Marquette University","2019","PRI","SEM","47550","","47550","","23775","","23775","","","1880","","1880","N","19400","19400","19400"
"00389500","University of Wisconsin","2019","PUB","SEM","25688","","44384","","12844","","22192","","","1118","","1897","N","21745","21745","11117"
"00393200","University of Wyoming","2019","PUB","SEM","16775","","33520","","8388","","16760","","464","","990","","N","17060","17060","17060"
"00393600","Pontifical Catholic University of P.R.","2019","PRI","SEM","16696","12696","16696","12696","8348","6348","8348","6348","500","500","500","500","N","14274","19206","11829"
"00393801","Inter American University of Puerto Rico","2019","PRI","SEM","","","","","","","","","485","485","485","485","Y","","21956","20133"
"00394200","University of Puerto Rico","2019","PUB","SEM","7900","3900","22900","10900","3950","1950","11450","5450","250","250","750","750","N","14021","19306","13581"
"00394700","University of California-Hastings","2019","PUB","SEM","44480","","50480","","22240","","25240","","","","","","N","26508","26508","26508"
"00396900","University of Minnesota","2019","PUB","SEM","45808","","54664","","22904","","27332","","","1821","","2190","N","18870","18870","18870"
"00497700","South Texas College of Law","2019","PRI","SEM","34050","22900","34050","22900","17025","11450","17025","11450","1115","1115","1115","1115","N","","21900","15016"
"00891600","New England Law | Boston","2019","PRI","SEM","51048","38328","51048","38328","25524","19164","25524","19164","","","","","N","","24891","15781"
"00927500","Northern Kentucky University","2019","PUB","SEM","21346","19400","34528","30554","10673","9700","17264","15277","821","821","1328","1328","N","13412","14020","14020"
"00963500","Florida International University","2019","PUB","SEM","21820","14900","34899","24549","10910","","17450","","691","691","1150","1150","Y","17862","27086","14814"
"01014205","Touro College","2019","PRI","SEM","51280","38320","51280","38320","25640","19160","25640","19160","","","","","N","","24602","24602"
"01014913","Pepperdine University","2019","PRI","SEM","57500","","57500","","28750","","28750","","2115","2115","2115","2115","N","27800","27800","27800"
"01039501","University of San Diego","2019","PRI","SEM","57192","42021","57192","42021","28596","21010","28596","21010","1940","1940","1940","1940","N","25355","25355","16247"
"01085400","Thomas Jefferson School of Law","2019","PRI","SEM","52800","40050","52800","40050","26400","20025","26400","20025","1850","1850","1850","1850","N","","26660","15130"
"01164901","Loyola Marymount University-Los Angeles","2019","PRI","SEM","58470","39702","58470","39702","29235","19851","29235","19851","2090","2090","2090","2090","N","","32800","18600"
"01193400","Vermont Law School","2019","PRI","SEM","48834","","48834","","24417","","24417","","","","","","N","","26184","26184"
"01262700","Western Michigan University","2019","PRI","SEM","63080","31540","63080","31540","31540","15770","31540","15770","1750","1750","1750","1750","N","","18314","18314"
"01310300","California Western School of Law","2019","PRI","TRI","54310","40550","54310","40550","27155","20275","27155","20275","","","","","N","","25520","13800"
"02053000","Liberty University","2019","PRI","SEM","37922","","37922","","18961","","18961","","","","","","N","","24634","17698"
"02179937","Western State College of Law","2019","PRI","SEM","43350","29150","43350","29150","21675","14575","21675","14575","","","","","N","","33776","20342"
"03091300","Regent University","2019","PRI","SEM","40520","28660","40520","28660","20260","14330","20260","14330","1200","1200","1200","1200","N","24580","24580","24580"
"03173300","Atlanta's John Marshall Law School","2019","PRI","SEM","44830","27180","44830","27180","22415","13590","22415","13590","1470","1470","1470","1470","N","","29271","29271"
"03191300","City University of New York","2019","PUB","SEM","16014","10958","26204","17978","8007","5479","13102","8989","655","655","1065","1065","N","","22562","10038"
"03374300","Florida Coastal School of Law","2019","PRI","SEM","39790","38212","39790","38212","19895","19106","19895","19106","","","","","N","","23122","23122"
"03559300","Appalachian School of Law","2019","PRI","SEM","35500","","35500","","17750","","17750","","","1460","","1460","Y","","19800",""
"03691400","Ave Maria School of Law","2019","PRI","SEM","43206","","43206","","21603","","21603","","","1998","","1998","N","23834","23834","23834"
"04096300","Charleston School of Law","2019","PRI","SEM","42134","34058","42134","34058","21067","17029","21067","17029","","","","","Y","","23946","23946"
"04242101","UNT Dallas College Of Law","2019","PUB","SEM","20968","12668","34230","21510","10484","6334","17115","10755","1253","1253","1695","1695","Y","","24524","15328"
