"schoolid","schoolname","calendaryear","academicyear","factotal","facmen","facwomen","facother","facminority","ftfactotal","ftfacmen","ftfacwomen","ftfacother","ftfacminority","nonftfactotal","nonftfacmen","nonftfacwomen","nonftfacother","nonftfacminority","totallibrarian","ftlibrarian","ptlibrarian","totaladmin","ftadmin","ptadmin"
"00173700","Northern Illinois University","2019","2018","54","33","21","0","12","27","12","15","0","6","27","21","6","0","6","5","5","0","14","14","0"
"00173900","Northwestern University","2019","2018","240","157","83","0","31","124","66","58","0","16","116","91","25","0","15","9","9","0","33","33","0"
"00175800","Southern Illinois University-Carbondale","2019","2018","45","22","23","0","6","27","13","14","0","3","18","9","9","0","3","3","3","0","8","8","0"
"00177400","University of Chicago","2019","2018","188","130","58","0","31","82","49","33","0","16","106","81","25","0","15","10","10","0","16","16","0"
"00177500","University of Illinois","2019","2018","128","75","53","0","19","53","26","27","0","12","75","49","26","0","7","8","8","0","11","11","0"
"00180900","Indiana University - Bloomington","2019","2018","114","70","44","0","16","57","36","21","0","10","57","34","23","0","6","9","9","0","12","12","0"
"00181300","Indiana University - Indianapolis","2019","2018","138","78","60","0","20","49","23","26","0","8","89","55","34","0","12","7","6","1","14","14","0"
"00184000","University of Notre Dame","2019","2018","161","108","53","0","13","57","42","15","0","8","104","66","38","0","5","7","7","0","12","12","0"
"00186000","Drake University","2019","2018","80","48","32","0","7","35","22","13","0","5","45","26","19","0","2","4","4","0","12","12","0"
"00189200","University of Iowa","2019","2018","80","49","31","0","7","41","23","18","0","5","39","26","13","0","2","14","13","1","26","26","0"
"00194800","University of Kansas","2019","2018","72","43","29","0","7","31","13","18","0","6","41","30","11","0","1","3","3","0","10","10","0"
"00194900","Washburn University","2019","2018","65","33","32","0","7","29","15","14","0","5","36","18","18","0","2","7","7","0","10","10","0"
"00198903","University of Kentucky","2019","2018","77","42","35","0","5","37","21","16","0","3","40","21","19","0","2","5","5","0","15","15","0"
"00199900","University of Louisville","2019","2018","66","43","23","0","9","27","16","11","0","5","39","27","12","0","4","6","6","0","10","9","1"
"00201000","Louisiana State University","2019","2018","86","59","27","0","8","40","24","16","0","6","46","35","11","0","2","10","10","0","15","15","0"
"00201600","Loyola University-New Orleans","2019","2018","84","49","35","0","21","45","22","23","0","14","39","27","12","0","7","3","3","0","5","5","0"
"00202500","Southern University","2019","2018","135","66","69","0","84","36","18","18","0","25","99","48","51","0","59","5","4","1","19","19","0"
"00202900","Tulane University","2019","2018","162","113","49","0","16","53","32","21","0","7","109","81","28","0","9","7","7","0","17","17","0"
"00205400","University of Maine","2019","2018","64","36","28","0","5","22","11","11","0","2","42","25","17","0","3","5","5","0","20","17","3"
"00210200","University of Baltimore","2019","2018","134","76","58","0","25","60","29","31","0","13","74","47","27","0","12","8","6","2","8","8","0"
"00210400","University of Maryland","2019","2018","175","102","73","0","31","58","30","28","0","14","117","72","45","0","17","9","8","1","21","19","2"
"00212801","Boston College","2019","2018","149","79","70","0","26","58","29","29","0","11","91","50","41","0","15","13","12","1","20","20","0"
"00213007","Boston University","2019","2018","211","130","81","0","13","70","37","33","0","10","141","93","48","0","3","11","11","0","15","15","0"
"00215510","Harvard University","2019","2018","340","221","118","1","62","182","113","69","0","33","158","108","49","1","29","2","1","1","8","8","0"
"00219900","Northeastern University","2019","2018","112","49","63","0","19","49","16","33","0","13","63","33","30","0","6","5","5","0","20","20","0"
"00221007","University of Massachusetts Dartmouth","2019","2018","38","24","14","0","5","18","11","7","0","1","20","13","7","0","4","4","4","0","12","8","4"
"00221810","Suffolk University","2019","2018","171","97","74","0","23","72","39","33","0","14","99","58","41","0","9","5","5","0","20","20","0"
"00222600","Western New England University","2019","2018","58","32","26","0","4","22","9","13","0","2","36","23","13","0","2","3","3","0","1","1","0"
"00225400","Michigan State University","2019","2018","124","73","51","0","11","53","28","25","0","6","71","45","26","0","5","7","7","0","13","12","1"
"00232300","University of Detroit Mercy","2019","2018","86","44","42","0","12","24","11","13","0","4","62","33","29","0","8","5","5","0","15","15","0"
"00232503","University of Michigan","2019","2018","190","127","63","0","19","111","69","42","0","13","79","58","21","0","6","11","11","0","14","14","0"
"00232902","Wayne State University","2019","2018","92","52","40","0","10","40","23","17","0","7","52","29","23","0","3","8","4","4","13","13","0"
"00234500","University of St. Thomas (Minnesota)","2019","2018","130","82","48","0","18","25","19","6","0","2","105","63","42","0","16","5","5","0","12","10","2"
"00239101","Mitchell Hamline School of Law","2019","2018","279","139","140","0","34","39","21","18","0","5","240","118","122","0","29","5","5","0","11","11","0"
"00241501","Mississippi College","2019","2018","55","33","22","0","10","27","14","13","0","4","28","19","9","0","6","3","3","0","1","1","0"
"00244000","University of Mississippi","2019","2018","65","39","26","0","9","38","22","16","0","4","27","17","10","0","5","6","6","0","8","5","3"
"00250609","Saint Louis University","2019","2018","97","52","45","0","10","44","16","28","0","4","53","36","17","0","6","5","5","0","9","9","0"
"00251600","University of Missouri","2019","2018","52","27","25","0","4","36","22","14","0","4","16","5","11","0","0","5","5","0","14","9","5"
"00251800","University of Missouri-Kansas City","2019","2018","110","63","47","0","9","42","23","19","0","5","68","40","28","0","4","4","4","0","11","11","0"
"00252000","Washington University","2019","2018","169","100","69","0","22","82","41","41","0","13","87","59","28","0","9","8","7","1","33","33","0"
"00253600","University of Montana","2019","2018","32","14","18","0","3","20","10","10","0","2","12","4","8","0","1","2","2","0","1","1","0"
"00254200","Creighton University","2019","2018","56","36","20","0","5","27","17","10","0","2","29","19","10","0","3","3","3","0","1","1","0"
"00256500","University of Nebraska","2019","2018","77","55","22","0","3","33","22","11","0","2","44","33","11","0","1","4","4","0","1","1","0"
"00256900","University of Nevada - Las Vegas","2019","2018","102","52","50","0","19","49","17","32","0","10","53","35","18","0","9","7","7","0","16","16","0"
"00258903","University of New Hampshire","2019","2018","93","57","35","1","3","29","17","12","0","2","64","40","23","1","1","5","5","0","21","8","13"
"00262900","Rutgers University","2019","2018","215","120","95","0","36","109","55","54","0","27","106","65","41","0","9","14","14","0","21","21","0"
"00263201","Seton Hall University","2019","2018","134","74","60","0","25","53","23","30","0","10","81","51","30","0","15","6","6","0","30","30","0"
"00266300","University of New Mexico","2019","2018","102","51","51","0","33","39","17","22","0","18","63","34","29","0","15","6","6","0","9","9","0"
"00267700","Brooklyn Law School","2019","2018","211","127","84","0","30","63","25","38","0","12","148","102","46","0","18","10","10","0","24","24","0"
"00270711","Columbia University","2019","2018","409","252","157","0","62","146","88","58","0","23","263","164","99","0","39","17","17","0","40","40","0"
"00271101","Cornell University","2019","2018","166","112","54","0","23","70","44","26","0","15","96","68","28","0","8","9","8","1","24","19","5"
"00272203","Fordham University","2019","2018","401","239","162","0","57","80","48","32","0","15","321","191","130","0","42","13","12","1","47","44","3"
"00273200","Hofstra University","2019","2018","172","105","67","0","14","52","23","29","0","5","120","82","38","0","9","7","7","0","31","30","1"
"00278300","New York Law School","2019","2018","188","115","73","0","26","60","31","29","0","9","128","84","44","0","17","12","8","4","39","38","1"
"00278500","New York University","2019","2018","403","282","121","0","62","158","105","53","0","33","245","177","68","0","29","12","12","0","45","45","0"
"00279102","Pace University","2019","2018","123","69","54","0","16","35","17","18","0","6","88","52","36","0","10","9","7","2","38","37","1"
"00282300","St. John's University","2019","2018","152","93","59","0","22","41","19","22","0","8","111","74","37","0","14","6","5","1","24","24","0"
"00283700","University of Buffalo-SUNY","2019","2018","116","66","50","0","9","45","24","21","0","6","71","42","29","0","3","10","10","0","9","9","0"
"00288200","Syracuse University","2019","2018","94","60","34","0","10","50","27","23","0","9","44","33","11","0","1","8","7","1","14","14","0"
"00288600","Albany Law School of Union University","2019","2018","94","53","41","0","15","38","22","16","0","8","56","31","25","0","7","5","4","1","18","18","0"
"00290301","Cardozo School of Law","2019","2018","335","197","138","0","25","58","34","24","0","5","277","163","114","0","20","10","7","3","34","34","0"
"00291300","Campbell University","2019","2018","100","65","35","0","18","30","20","10","0","4","70","45","25","0","14","5","5","0","13","13","0"
"00292002","Duke University","2019","2018","194","115","79","0","26","96","56","40","0","15","98","59","39","0","11","9","8","1","36","36","0"
"00292701","Elon University","2019","2018","65","31","34","0","6","35","16","19","0","5","30","15","15","0","1","6","6","0","13","13","0"
"00295000","North Carolina Central University","2019","2018","74","30","44","0","48","30","11","19","0","21","44","19","25","0","27","5","5","0","10","10","0"
"00297400","University of North Carolina","2019","2018","246","138","108","0","34","56","29","27","0","8","190","109","81","0","26","11","11","0","33","32","1"
"00297805","Wake Forest University","2019","2018","108","66","42","0","16","55","28","27","0","13","53","38","15","0","3","8","8","0","8","7","1"
