"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00282300","St. John's University","2019","2018","81","","","173","140","33","11","8","0","1041","","","","28","","","","","152","","","","143","","","","","","","","","","","","8","89","",""
"00283700","University of Buffalo-SUNY","2019","2018","78","","","164","171","25","2","1","1","0","","","","31","","","","","112","","","","113","","","","","","","","","","","","6","90","",""
"00288200","Syracuse University","2019","2018","49","","","116","107","18","8","5","0","817","","","","15","","","","","240","","","","194","","","","","","","","","","","","10","87","",""
"00288600","Albany Law School of Union University","2019","2018","59","","","100","111","16","5","1","1","384","","","","39","","","","","120","","","","151","","","","","","","","","","","","31","87","",""
"00290301","Cardozo School of Law","2019","2018","55","","","244","137","38","12","9","7","1352","","","","29","","","","","374","","","","514","","","","","","","","","","","","105","84","",""
"00291300","Campbell University","2019","2018","45","","","99","115","11","11","4","0","933","","","","41","","","","","88","","","","111","","","","","","","","","","","","32","90","",""
"00292002","Duke University","2019","2018","64","","","232","180","48","12","5","1","1226","","","","57","","","","","210","","","","63","","","","","","","","","","","","0","87","",""
"00292701","Elon University","2019","2018","72","","","64","75","14","7","0","0","424","","","","17","","","","","42","","","","193","","","","","","","","","","","","13","86","",""
"00295000","North Carolina Central University","2019","2018","35","","","94","94","28","10","0","0","415","","","","31","","","","","289","","","","79","","","","","","","","","","","","16","88","",""
"00297400","University of North Carolina","2019","2018","68","","","141","92","35","8","5","0","637","","","","35","","","","","96","","","","136","","","","","","","","","","","","7","86","",""
"00297805","Wake Forest University","2019","2018","45","","","96","104","25","8","2","0","121","","","","18","","","","","161","","","","57","","","","","","","","","","","","11","90","",""
"00300500","University of North Dakota","2019","2018","63","","","51","32","15","7","1","0","177","","","","10","","","","","0","","","","153","","","","","","","","","","","","15","90","",""
"00302302","Capital University","2019","2018","58","","","94","109","21","4","3","0","941","","","","2","","","","","151","","","","120","","","","","","","","","","","","10","89","",""
"00302400","Case Western Reserve University","2019","2018","85","","","125","93","19","6","5","0","663","","","","10","","","","","87","","","","261","","","","","","","","","","","","12","88","",""
"00303200","Cleveland State University","2019","2018","59","","","99","120","17","3","0","0","49","","","","34","","","","","60","","","","80","","","","","","","","","","","","6","90","",""
"00308900","Ohio Northern University","2019","2018","50","","","75","52","8","3","0","0","206","","","","6","","","","","160","","","","43","","","","","","","","","","","","6","90","",""
"00309000","Ohio State University","2019","2018","63","","","119","83","28","15","1","0","380","","","","21","","","","","144","","","","167","","","","","","","","","","","","6","88","",""
"00312300","University of Akron","2019","2018","40","","","94","108","34","17","1","0","897","","","","19","","","","","179","","","","54","","","","","","","","","","","","5","88","",""
"00312500","University of Cincinnati","2019","2018","59","","","109","74","21","2","2","1","391","","","","9","","","","","40","","","","105","","","","","","","","","","","","35","90","",""
"00312700","University of Dayton","2019","2018","44","","","60","75","22","1","0","0","347","","","","5","","","","","42","","","","43","","","","","","","","","","","","5","90","",""
"00313100","University of Toledo","2019","2018","42","","","63","48","10","7","1","0","57","","","","6","","","","","72","","","","73","","","","","","","","","","","","4","89","",""
"00316614","Oklahoma City University","2019","2018","70","","","88","49","37","16","9","1","194","","","","8","","","","","39","","","","212","","","","","","","","","","","","19","90","",""
"00318400","University of Oklahoma","2019","2018","43","","","101","90","38","12","1","0","398","","","","18","","","","","107","","","","133","","","","","","","","","","","","10","90","",""
"00318500","University of Tulsa","2019","2018","50","","","74","60","15","6","0","0","0","","","","6","","","","","36","","","","145","","","","","","","","","","","","18","88","",""
"00319100","Concordia Law School","2019","2018","60","","","51","56","9","2","0","0","180","","","","1","","","","","38","","","","39","","","","","","","","","","","","2","90","",""
"00319700","Lewis and Clark College","2019","2018","40","","","140","124","26","7","1","0","484","","","","33","","","","","133","","","","281","","","","","","","","","","","","15","90","",""
"00322300","University of Oregon","2019","2018","65","","","110","86","18","7","1","0","298","","","","10","","","","","216","","","","91","","","","","","","","","","","","6","85","",""
"00322700","Willamette University","2019","2018","61","","","78","89","12","5","2","0","317","","","","14","","","","","64","","","","91","","","","","","","","","","","","11","90","",""
"00325600","Drexel University","2019","2018","70","","","113","111","15","3","2","0","381","","","","14","","","","","44","","","","113","","","","","","","","","","","","4","85","",""
"00325800","Duquesne University","2019","2018","75","","","97","83","23","10","3","0","75","","","","14","","","","","62","","","","73","","","","","","","","","","","","4","87","",""
"00331301","Widener University-Delaware","2019","2018","58","","","79","68","29","10","1","0","487","","","","3","","","","","40","","","","59","","","","","","","","","","","","35","90","",""
"00331302","Widener Commonwealth","2019","2018","50","","","64","51","15","5","3","0","236","","","","4","","","","","70","","","","130","","","","","","","","","","","","20","88","",""
"00332900","Pennsylvania State University-Penn State Law","2019","2018","57","","","106","66","18","19","1","1","427","","","","18","","","","","123","","","","61","","","","","","","","","","","","9","88","",""
"00332923","Pennsylvania State University-Dickinson School of Law","2019","2018","41","","","87","67","11","2","1","0","270","","","","11","","","","","44","","","","98","","","","","","","","","","","","12","88","",""
"00337101","Temple University","2019","2018","63","","","180","340","26","8","1","0","1112","","","","203","","","","","258","","","","313","","","","","","","","","","","","7","88","",""
"00337800","University of Pennsylvania","2019","2018","84","","","230","188","37","14","8","3","1277","","","","97","","","","","150","","","","77","","","","","","","","","","","","25","86","",""
"00337900","University of Pittsburgh","2019","2018","46","","","153","161","13","6","5","1","270","","","","18","","","","","172","","","","112","","","","","","","","","","","","12","88","",""
"00338801","Villanova University","2019","2018","63","","","136","113","22","7","6","5","662","","","","16","","","","","114","","","","294","","","","","","","","","","","","6","91","",""
"00341001","Roger Williams University","2019","2018","83","","","106","94","21","9","4","0","558","","","","8","","","","","138","","","","97","","","","","","","","","","","","11","90","",""
"00344800","University of South Carolina","2019","2018","71","","","153","102","25","15","7","0","659","","","","30","","","","","83","","","","64","","","","","","","","","","","","6","90","",""
"00347400","University of South Dakota","2019","2018","38","","","59","45","11","3","0","0","193","","","","4","","","","","12","","","","17","","","","","","","","","","","","8","90","",""
"00347900","Belmont University","2019","2018","82","","","56","42","13","5","4","3","469","","","","5","","","","","0","","","","126","","","","","","","","","","","","14","88","",""
"00350200","Lincoln Memorial University","2019","2018","45","","","46","45","6","2","7","0","170","","","","5","","","","","0","","","","99","","","","","","","","","","","","4","90","",""
