"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"01262700","Western Michigan University","2019","2018","29","","","115","514","68","7","0","0","2218","","","","99","","","","","289","","","","252","","","","","","","","","","","","26","90","",""
"01310300","California Western School of Law","2019","2018","78","","","89","144","22","8","5","9","1327","","","","12","","","","","126","","","","162","","","","","","","","","","","","19","90","",""
"02053000","Liberty University","2019","2018","36","","","71","71","13","5","0","0","394","","","","8","","","","","23","","","","38","","","","","","","","","","","","14","90","",""
"02179937","Western State College of Law","2019","2018","45","","","50","47","24","6","0","0","376","","","","8","","","","","24","","","","41","","","","","","","","","","","","8","88","",""
"03091300","Regent University","2019","2018","47","","","68","70","8","8","2","0","186","","","","0","","","","","67","","","","118","","","","","","","","","","","","5","90","",""
"03173300","Atlanta's John Marshall Law School","2019","2018","26","","","75","133","23","8","1","0","214","","","","2","","","","","0","","","","72","","","","","","","","","","","","0","88","",""
"03191300","City University of New York","2019","2018","72","","","90","63","26","10","0","0","716","","","","10","","","","","252","","","","31","","","","","","","","","","","","12","86","",""
"03374300","Florida Coastal School of Law","2019","2018","40","","","58","74","12","0","0","0","94","","","","3","","","","","85","","","","93","","","","","","","","","","","","6","90","",""
"03559300","Appalachian School of Law","2019","2018","61","","","48","36","5","7","0","0","230","","","","4","","","","","0","","","","54","","","","","","","","","","","","2","93","",""
"03691400","Ave Maria School of Law","2019","2018","46","","","74","79","9","3","0","0","98","","","","10","","","","","41","","","","59","","","","","","","","","","","","6","90","",""
"04096300","Charleston School of Law","2019","2018","45","","","94","83","53","22","0","0","706","","","","14","","","","","0","","","","133","","","","","","","","","","","","7","90","",""
"04242101","UNT Dallas College Of Law","2019","2018","64","","","58","65","21","9","1","0","340","","","","7","","","","","100","","","","52","","","","","","","","","","","","2","90","",""
