Order,School ID,school,USNRank,Overall,USNScore,Peer Rep,Lawyer Judge Rep,LSAT,UPGA,Student Selectivity,Employed at Graduation,Employed at 9 mos,Bar Passage,Financial Aid,Direct Expenses,Student-Faculty Ratio,Library,Peer,Lawyer/Judge,Student/Faculty,LSAT_percentile,UGPA,Acceptance,Grad Impute,employed9mo,Bar Passage,FinAid,DirExp,Library
21,3021,University of Southern California,20,67,1.092881324,1.322370242,1.1111591,1.403147742,0.687938994,1.441506727,0.777334685,0.347950076,2.097069384,2.653015437,1.456928564,0.427842629,-0.138529046,3.5,3.7,10.7,0.9484,3.76,28,56.1,72.2,1.32,59769,58972.5,708176
22,3031,George Washington University,22,66,1.041280835,1.206640816,1.241533337,1.339462822,0.623958264,0.429005463,1.899641167,1.505594429,1.463107987,1.313928419,-0.034965854,-1.358479971,2.834724208,3.4,3.8,15.4,0.9349,3.71,45,79.1,89.2,1.240789474,39897,36124,2186518
23,3001,University of Alabama,22,66,0.946417135,0.975181964,0.589662155,1.174825511,0.70073514,1.501065625,1.065230696,1.335352613,1.567607119,-0.143218202,0.734536552,0.883924995,0.376193383,3.2,3.3,9.5,0.9,3.77,27,62,86.7,1.253846154,18273,47909,964103
24,3059,University of Iowa,22,66,0.975307111,0.975181964,0.980784864,0.84790959,0.534385242,0.667241054,1.509273695,1.056156034,-0.076784313,2.2858312,1.052099127,1.302000497,3.421518276,3.2,3.6,8.4,0.8307,3.64,41,71.1,82.6,1.048387097,54320,52772.5,2478280
25,3056,University of Notre Dame,22,66,1.027189085,1.206640816,1.241533337,1.174825511,0.534385242,0.905476646,1.011555168,0.906343235,0.372679067,2.881924384,0.808874989,0.541863221,0.428844797,3.4,3.8,10.4,0.9,3.64,37,60.9,80.4,1.104545455,63166,49047.5,990282
26,3003,Arizona State University,26,64,0.876995965,0.743723113,0.589662155,1.088968805,0.495996805,0.48856436,1.294571586,1.137872106,0.551778354,3.928625201,1.088892899,0.769904404,-0.751082666,3,3.3,9.8,0.8818,3.61,44,66.7,83.8,1.126923077,78699,53336,403606
27,3073,Boston University,26,64,0.884721015,1.09091139,0.850410628,1.174825511,0.559977534,0.78635885,0.391846806,0.327521058,0.531733812,0.383097174,1.623724821,0.313822038,2.171449933,3.3,3.5,11,0.9,3.66,39,48.2,71.9,1.124418605,26083.5,61527,1856729
28,3167,University of Washington,28,63,0.902314986,0.859452539,0.980784864,1.264927879,0.57277368,1.560624523,0.518716235,0.899533562,0.658391572,-0.953260726,1.001430152,1.378014225,0.185736008,3.1,3.6,8.2,0.9191,3.67,26,50.8,80.3,1.140243902,6252,51996.5,869405
29,3160,William and Mary,29,62,0.856123914,0.975181964,1.1111591,1.174825511,0.726327432,1.203271135,1.074989883,1.144681778,0.502606005,-0.350732215,-0.249656046,0.427842629,-0.060419761,3.2,3.7,10.7,0.9,3.79,32,62.2,83.9,1.120779221,15193.5,32836,747013
30,3201,University of California - Irvine,30,61,0.838028682,0.743723113,0.980784864,1.264927879,0.393627637,1.798860114,0.133228356,-0.02658192,1.112023309,0.088655712,2.059765302,1.492034816,-1.098160853,3,3.6,7.9,0.9191,3.53,22,42.9,66.7,1.196923077,21714,68205,231034
31,3017,University of California - Davis,31,60,0.826062415,1.09091139,1.1111591,1.088968805,0.483200659,1.024594441,0.577271356,0.436475821,1.739990182,2.849916215,-0.036892058,0.693890676,-0.314811427,3.3,3.7,10,0.8818,3.6,35,52,73.5,1.275384615,62691,36094.5,620526
32,3042,University of Georgia,31,60,0.728895773,0.859452539,0.589662155,1.174825511,0.611162118,1.262830033,0.562632575,0.61352731,0.458705986,0.183871591,0.544299364,0.275815174,0.582426674,3.1,3.3,11.1,0.9,3.7,31,51.7,76.1,1.115294118,23127,44995.5,1066645
33,3170,University of Wisconsin - Madison,31,60,0.702952245,1.09091139,0.980784864,0.973864209,0.508792951,0.131210973,0.060034455,0.504572548,0.627335865,-0.360671594,-0.25409611,1.378014225,1.39597841,3.3,3.6,8.2,0.8574,3.62,50,41.4,74.5,1.136363636,15046,32768,1471154
34,3072,Boston College,34,59,0.671741461,0.975181964,0.980784864,1.088968805,0.380831491,0.48856436,0.665104037,0.300282368,0.317686736,0.172854043,-0.001795958,0.503856357,0.250541152,3.2,3.6,10.5,0.8818,3.52,44,53.8,71.5,1.097674419,22963.5,36632,901627
35,3156,Brigham Young University,34,59,0.604196051,0.627993687,0.589662155,1.088968805,0.70073514,0.965035544,0.3967264,0.620336983,-0.270862495,-0.382841463,0.500257839,-0.408308375,0.046073702,2.9,3.3,12.9,0.8818,3.77,36,48.3,76.2,1.024137931,14717,44321,799963
36,3107,Fordham University,34,59,0.722785066,0.975181964,0.850410628,1.174825511,0.406423783,1.024594441,0.596789729,0.07556317,1.07346394,-0.463737898,0.8584013,0.085780855,0.411514218,3.2,3.5,11.6,0.9,3.54,35,52.4,68.2,1.192105263,13516.5,49806,981665
37,3054,Indiana University - Bloomington,34,59,0.838942338,0.975181964,1.1111591,0.973864209,0.63675441,-0.583495802,0.889565333,0.913152908,0.779866959,0.284276164,0.349883291,1.149973042,0.767146072,3.2,3.7,8.8,0.8574,3.72,62,58.4,80.5,1.155421687,24617,42018,1158490
38,3126,Ohio State University,34,59,0.673033785,0.975181964,0.850410628,0.731389774,0.483200659,0.131210973,0.469920301,0.851865854,0.34560592,-0.158683202,0.003068525,0.427842629,0.390436758,3.2,3.5,10.7,0.806,3.6,50,49.8,79.6,1.101162791,18043.5,36706.5,971185
39,3119,University of North Carolina - Chapel Hill,34,59,0.748037028,1.206640816,1.241533337,0.973864209,0.329646907,0.726799952,0.245459004,0.565859602,0.962660344,-0.794129587,-0.232385499,0.427842629,0.096193006,3.4,3.8,10.7,0.8574,3.48,40,45.2,75.4,1.17826087,8613.5,33100.5,824883
40,3023,University of Colorado Boulder,40,58,0.711172458,0.859452539,0.589662155,0.973864209,0.508792951,0.309887667,0.42600396,0.770149782,0.238695874,0.28663466,0.566401745,1.03595245,0.968423746,3.1,3.3,9.1,0.8574,3.62,47,48.9,78.4,1.087804878,24652,45334,1258568
41,3053,University of Illinois - Urbana Champaign,41,57,0.757436751,0.859452539,0.980784864,0.973864209,0.265666177,0.607682156,0.596789729,0.797388472,0.154401812,3.081453201,0.396961037,0.123787719,0.630806282,3.1,3.6,11.5,0.8574,3.43,42,52.4,78.8,1.077272727,66127,42739,1090700
42,3159,George Mason University,42,55,0.491133646,0.396534835,0.459287919,0.973864209,0.508792951,0.845917748,0.948120454,0.504572548,1.209408546,-0.707101061,0.007149467,0.009767127,0.827969024,2.7,3.2,11.8,0.8574,3.62,38,59.6,74.5,1.209090909,9905,36769,1188732
43,3004,University of Arizona,42,55,0.557569191,0.743723113,0.589662155,0.973864209,0.444812221,0.78635885,-0.301055457,0.245804986,0.756996286,0.378346487,0.228728288,1.149973042,-0.355990911,3,3.3,8.8,0.8574,3.57,39,34,70.7,1.152564103,26013,40162.5,600051
44,3157,University of Utah,42,55,0.477986808,0.512264261,0.328913682,0.581848147,0.457608367,0.48856436,0.128348763,0.736101418,-0.188067674,-0.808179489,0.352984807,1.568048544,-0.517846897,2.8,3.1,7.7,0.7743,3.58,44,42.8,77.9,1.034482759,8405,42065.5,519574
45,3163,Washington and Lee University,42,55,0.622010816,0.859452539,1.1111591,0.973864209,0.188889302,0.548123258,0.3967264,-0.237681773,-0.193802381,0.587848376,0.608125295,1.263993633,0.186862285,3.1,3.7,8.5,0.8574,3.37,43,48.3,63.6,1.033766234,29122,45973,869965
46,3150,Southern Methodist University,46,54,0.449877352,0.280805409,0.459287919,0.973864209,0.534385242,0.369446565,0.748057125,0.91996258,-0.030919857,1.029931729,-0.189617228,-1.282466243,1.305218626,2.6,3.2,15.2,0.8574,3.64,46,55.5,80.6,1.054117647,35682.5,33755.5,1426027
47,3037,University of Florida,47,53,0.462206433,0.859452539,0.720036391,0.581848147,0.355239199,-0.523936904,-0.110751314,0.395617785,0.479952078,0.554425109,-0.238294703,-0.142260328,0.374801627,3.1,3.4,12.2,0.7743,3.5,61,37.9,72.9,1.117948718,28626,33010,963411
48,3071,University of Maryland,47,53,0.384722319,0.627993687,0.328913682,0.731389774,0.355239199,0.309887667,0.221061037,0.041514806,-0.113897314,0.054558589,0.203622334,0.389835765,-0.140158125,2.9,3.1,10.8,0.806,3.5,47,44.7,67.7,1.04375,21208,39778,707366
