"justiceName","LiberalPct","GOP"
"AFortas",82.4797843665768,0
"AJGoldberg",91.0505836575876,0
"AMKennedy",37.2446001167542,1
"AScalia",27.3878020713464,1
"BMKavanaugh",35.2941176470588,1
"BRWhite",44.751749416861,0
"CEWhittaker",47.7124183006536,1
"CThomas",23.7542662116041,1
"DHSouter",58.1699346405229,1
"EKagan",65.0990099009901,0
"EWarren",80.4707933740192,1
"FFrankfurter",55.5006180469716,0
"FMurphy",80.6451612903226,0
"FMVinson",37.2222222222222,0
"HABlackmun",51.3431542461005,1
"HHBurton",39.1025641025641,0
"HLBlack",73.8524113887275,0
"JGRoberts",39.1432791728213,1
"JHarlan2",44.187898089172,1
"JPStevens",64.3533123028391,1
"LFPowell",37.4840357598978,1
"NMGorsuch",43.6363636363636,1
"PStewart",54.5664206642066,1
"RBGinsburg",63.2396449704142,0
"RHJackson",41.2234042553192,0
"SAAlito",28.5714285714286,1
"SDOConnor",33.9909808342728,1
"SFReed",36.1963190184049,0
"SGBreyer",59.5594020456334,0
"SMinton",36.5853658536585,0
"SSotomayor",68.4100418410042,0
"TCClark",46.7619047619048,0
"TMarshall",81.5766923736075,0
"WBRutledge",74.4565217391304,0
"WEBurger",29.841449603624,1
"WHRehnquist",21.1756115370573,1
"WJBrennan",80,1
"WODouglas",87.7667140825036,0
